Subject_Code,Age,Mass_kg,Stature_cm,FDIMP_CMJ_1_WK1,FDIMP_CMJ_2_WK1,FDIMP_CMJ_3_WK1,FDFT_CMJ_1_WK1,FDFT_CMJ_2_WK1,FDFT_CMJ_3_WK1,AI_CMJ_1_WK1,AI_CMJ_2_WK1,AI_CMJ_3_WK1,FDIMP_CMJ_1_WK2,FDIMP_CMJ_2_WK2,FDIMP_CMJ_3_WK2,FDFT_CMJ_1_WK2,FDFT_CMJ_2_WK2,FDFT_CMJ_3_WK2,AI_CMJ_1_WK2,AI_CMJ_2_WK2,AI_CMJ_3_WK2
LB1,22,88.8,184,29.8,29.3,29,30.4,29.8,30.3,35.6,32.8,32.9,29.7,30.7,31,30.2,31.5,31.5,32.9,32,32.9
LB2,21,92.8,186.4,34,34.7,34,41.4,38.7,36.3,41.9,41.7,42,35.6,34.5,36.1,41.1,39.5,40.4,39,40.2,41.4
LB3,20,57.4,170.5,34,32,32.6,36,34.8,34.3,38.8,38.5,37.6,33.1,34.7,34,35.6,38.3,37.2,37.5,36.3,33.4
LB4,19,71.4,170,22.7,22,20.2,26.7,25.6,25,27.7,25.4,26,22.6,21.9,23.3,24.9,24.1,27.1,29.1,24.8,27.6
LB5,20,67.8,167.5,25,"22.,9",24.3,25.7,24.2,26.1,27.2,26.9,29.2,27,22.6,23.7,27.2,25,24.6,30.3,30,28.8
LB6,28,50,157.5,34.9,34.1,34.2,36.8,36.3,37.1,36.3,36.8,36.3,35.3,34.9,34,37.9,38,38.3,38.6,38.6,42.8
LB7,25,76.4,177.5,18.8,19.1,19.7,24.3,24.5,24.4,27.4,32.6,28.3,19.9,20.8,18.3,25.8,26.3,24.6,26.9,28.8,25.2
LB8,35,73.4,180.5,40.6,38.5,39.9,40.5,38.7,41.1,47.3,40.5,45.3,39.8,38.6,38.6,39,37.5,38.7,45.6,42.8,42.2
LB9,25,65.6,173.5,33.7,33.4,31.5,32,31,29.6,36.9,35.2,32,35.5,34.3,33.7,34.7,34.3,33,39.5,39.8,36.9
LB10,41,76.2,165.5,24.7,27.1,27.3,24.4,27.8,27.4,24.8,25.2,26.4,35.6,37,34.8,29.8,29.1,27.7,29.1,30.5,20.8
LB11,20,67.8,170.3,20.2,18.3,20.2,23.6,23.1,25.7,25.3,25.3,21.2,28.7,26.9,26.9,27.5,26.1,25.5,27,26.5,25.6
LB12,20,82.4,197.2,34.3,33.2,32.6,35.5,33.4,32.8,40.5,41.9,43.2,30.8,30.1,31.6,31.9,31.9,32.3,41.8,39.3,39.2
LB13,22,72.8,188.4,34.7,34.1,33.9,39.8,39,40.5,45.4,44.8,44.3,32.7,31.8,34.3,37.2,37.2,38,44.2,39,43.4
LB14,21,69.6,169.5,17.3,18.8,16.9,20.2,21.1,20.9,23.3,24.9,22.8,20.1,17.5,19.1,22.4,21.3,23.2,26.4,25,25.8
LB15,20,74.6,172,23.8,23.8,22.5,24.2,24.4,23.8,31.5,30,29.7,22.4,24.6,25.2,24.1,24.6,26.1,30.3,31.6,33.3
LB28,20,72.8,180.7,35,29,29.1,34.3,27,27.5,43.4,33.1,33,27.6,26.9,31.9,26.6,25,30.9,31.1,29.9,37.2
LB17,20,86,190.5,35.9,39,40.6,39,41.4,44.6,39.4,42.1,40.7,37.9,37.1,39.7,40.2,39.4,40.2,39.3,38.5,40.7
LB18,22,88.8,193.1,34.7,38.9,39.3,35.5,41.7,44.1,39.2,46.8,47.2,39.1,36,39.8,41.1,43.4,44.9,41.9,43.1,43.7
LB20,18,67,163,18.1,16.4,18.4,18.6,16.6,17.6,20.1,13.3,18.1,16.3,17.9,17.5,18.3,18.8,19.2,21.2,20.7,16.7
LB21,19,75.6,187.5,38.5,38.5,37.4,38.9,39.7,38.9,41.7,41.7,42.4,34.7,35,35.5,35.2,35.2,35,37.5,37,40.1
LB22,22,65.6,168.1,29.6,29.2,30.6,32.6,32.8,33.5,34.9,29.8,31,28.5,28.7,26.4,32.1,32.8,30.2,32.7,32.3,30.1
LB23,19,70,165.6,23.6,23.6,24.3,25.5,24.2,25.8,29.8,27.4,30.1,24.4,23.9,27.3,26.5,26.3,29.2,30,32.1,34
LB24,19,58.8,176,25.4,23.3,26.6,23.1,22.4,25.5,25.8,25.4,26.8,,,,,,,,,
LB26,20,80.2,183.5,37.8,32.4,36,39.1,32.4,36,43.6,33.3,39.9,36.9,36,36.9,38,36.9,36.5,43.6,38.8,38.5
LB27,21,75,182.4,32.4,31.8,31.7,36.8,35.5,36.5,39.8,39.2,40.8,31.8,32.1,32.4,35.1,38,37.5,42,42.4,43.1
LB16,41,67.4,171.6,46.7,36,34.7,34.3,35.9,34.4,36.2,38.5,37.9,35.4,37.3,38,35.6,37.9,38.4,37.7,40.7,43.4
